service,credential_name,required_for_phase,where_to_store,notes,status
OpenAI Platform,OPENAI_API_KEY,Phase 2,Deployment secrets / local .env,Never commit real key,needed
GitHub,GITHUB_TOKEN,Phase 1,GitHub Actions secrets / local .env,Repo and workflow permissions only as needed,needed
Google OAuth,GOOGLE_CLIENT_ID,Phase 3,Deployment secrets / local .env,Calendar/Gmail/Drive/Contacts,needed
Google OAuth,GOOGLE_CLIENT_SECRET,Phase 3,Deployment secrets / local .env,Never commit real secret,needed
Dropbox,DROPBOX_APP_KEY,Phase 4,Deployment secrets / local .env,File sync,planned
Dropbox,DROPBOX_APP_SECRET,Phase 4,Deployment secrets / local .env,Never commit real secret,planned
Notion,NOTION_TOKEN,Phase 4,Deployment secrets / local .env,Docs/tasks/database sync,planned
Twilio,TWILIO_ACCOUNT_SID,Phase 5,Deployment secrets / local .env,SMS alerts,planned
Twilio,TWILIO_AUTH_TOKEN,Phase 5,Deployment secrets / local .env,Never commit real token,planned
Vercel,VERCEL_TOKEN,Phase 2,GitHub Actions secrets,Dashboard deploy,planned
Netlify,NETLIFY_AUTH_TOKEN,Phase 2,GitHub Actions secrets,Alternative dashboard deploy,planned
Manus,MANUS_EXPORT_PATH,Phase 3,Config only,Use exported docs/assets not secrets,blocked
